rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
591,151.01,151,382302241,382302241.0,1,FP,05h33m23.79s,83.349121,-58d44m42.33s,-58.745093000000004,28.991999999999997,25.403000000000002,2458326.049,1.5978299999999999,1.49,1713.689941,3.59995,955.676025,1548.0,11.0264,137.504,5037.600098,4.72,0.79,9/5/2018 18:34,12/17/2019 10:00
592,1510.01,1510,377739433,377739433.0,1,PC,23h14m17.81s,348.574188,+65d57m28.7s,65.957972,34.183,6.027,2458764.825,1.23852,3.138,440.0,7.11712,9304.06,2736.0,10.1975,500.543,6524.0,3.5,3.4,12/5/2019 21:41,11/17/2020 12:00
593,1511.01,1511,376682699,376682699.0,1,FP,22h41m24.54s,340.352259,+69d04m28.01s,69.07444699999999,4.381,-0.315,2458765.153,1.10264,2.419,2940.0,24.3905,143773.0,5424.0,10.380999999999998,544.2330000000001,9218.0,4.21,2.0,12/5/2019 21:41,6/10/2020 12:00
594,1512.01,1512,434718964,434718964.0,1,PC,23h01m57.14s,345.488066,+64d04m02.41s,64.067337,4.381,-0.315,2458765.793,1.59748,2.7430000000000003,550.0,24.3905,143773.0,5424.0,10.262,544.2330000000001,9218.0,4.21,2.0,12/5/2019 21:41,5/20/2020 16:00
595,1513.01,1513,269509393,269509393.0,1,PC,23h21m29.71s,350.37379599999997,+60d10m32.29s,60.175637,49.053000000000004,11.522,2458764.844,1.7658900000000002,3.807,730.0,4.06597,6579.97,2509.0,10.2866,275.906,6221.0,4.13,1.55,12/5/2019 21:41,11/17/2020 12:00
596,1514.01,1514,270238522,270238522.0,1,APC,23h26m35.62s,351.648417,+64d18m16.92s,64.304699,-4.361000000000001,-5.185,2458765.476,1.36991,4.156000000000001,1170.0,11.8886,18625.30078,3254.0,7.5586,242.00599999999997,7339.799805,3.56,3.64,12/5/2019 21:41,11/30/2020 3:13
597,1515.01,1515,470709084,470709084.0,1,PC,23h49m28.34s,357.36809700000003,+61d40m58.15s,61.682818999999995,-0.929,13.53,2458764.914,3.6632800000000003,2.255,1080.0,7.712339999999999,548.091,1347.0,10.4433,337.288,6370.0,3.81,2.32,12/5/2019 21:41,11/17/2020 12:00
598,1516.01,1516,376637093,376637093.0,1,PC,22h40m20.31s,340.08462000000003,+69d30m13.43s,69.503731,16.223,-1.325,2458765.325,2.05603,2.8289999999999997,16570.0,16.4042,1903.14,1840.0,10.377,247.054,6485.0,4.37,1.24,12/5/2019 21:41,10/30/2020 1:59
599,1517.01,1517,455962313,455962313.0,1,FP,22h40m08.78s,340.03659300000004,+65d26m23.02s,65.439728,-0.9,-8.2,2458766.042,4.51083,2.391,860.0,16.4042,1903.14,1840.0,9.599,184.762,6485.0,4.37,1.24,12/5/2019 21:41,5/20/2020 16:00
600,1518.01,1518,427761355,427761355.0,1,PC,23h29m04.21s,352.267521,+67d02m05.3s,67.034806,-7.444,-4.8839999999999995,2458766.121,1.90261,2.0469999999999997,9110.0,19.7606,19308.8,3284.0,8.75127,225.888,9918.0,4.32,1.82,12/5/2019 21:41,11/17/2020 12:00
